Study ID,Geographical location,PET participants,MRI participants,Average Age (Years),Male,Female,Caucasian,Black,African-American,Asian,Other,Not specified,Asian American,Middle Eastern,Carribean,Jewish,Caucasian-Hispanic
169,Montreal,,86,36.4,41,45,,,,,,,,,,,
170,Montreal,,40,69.98,,,,,,,,,,,,,
171,Montreal,51,51,,28,23,,,,,,,,,,,
172,Montreal,,27,35.95,17,10,,,,,,,,,,,
173,Montreal,,12,23,4,8,,,,,,,,,,,
174,Montreal,,13,27.4,6,7,,,,,,,,,,,
175,Quebec City,,13,26.1,,,,,,,,,,,,,
176,"Montreal, Quebec City, Laurentians, Lanaudiere, Estrie, Outaouais",,126,3.625,68,58,,,,,,,,,,,
177,Montreal,,244,,,,,,,,,,,,,,
178,Montreal,,23,24.2,13,10,,,,,,,,,,,
179,Montreal,,23,>0.69,,,,,,,,,,,,,
180,Montreal,,34,,16,18,,,,,,,,,,,
181,Montreal,,13,33.3,,,,,,,,,,,,,
182,Montreal,12,12,32,6,6,,,,,,,,,,,
183,Montreal,14,14,21.4,,14,,,,,,,,,,,
184,Montreal,44,44,32.9,17,27,,,,,,,,,,,
185,Sherbrooke,,48,,24,24,,,,,,,,,,,
186,Montreal,,29,> 50,5,24,,,,,,,,,,,
187,Montreal,,18,,11,7,,,,,,,,,,,
188,Montreal,,53,69.95,14,39,,,,,,,,,,,
189,Montreal,,26,40,15,11,,,,,,,,,,,
190,Montreal,,81,35,31,50,,,,,,,,,,,
191,Montreal,,24,23.7,12,12,,,,,,,,,,,
192,Montreal,,155,34,53,102,,,,,,,,,,,
193,Montreal,,16,23.6,7,9,,,,,,,,,,,
194,Montreal,,12,,9,3,,,,,,,,,,,
195,Montreal,16,16,22.4,16,,,,,,,,,,,,
196,Montreal,,20,29.6,10,10,,,,,,,,,,,
197,Montreal,,53,,16,37,,,,,,,,,,,
198,Montreal,,32,,16,16,,,,,,,,,,,
199,Montreal,,14,22.7,7,7,,,,,,,,,,,
200,Montreal,,8,28,2,6,,,,,,,,,,,
201,Montreal,,14,22.6,8,6,,,,,,,,,,,
202,Montreal,10,10,64.6,8,2,,,,,,,,,,,
203,Sherbrooke,,42,22,,,,,,,,,,,,,
204,Montreal,3,3,29.3,,3,,,,,,,,,,,
205,Montreal,,6,,3,3,,,,,,,,,,,
206,Capitale-Nationale,,17,41.2,9,8,,,,,,,,,,,
207,Montreal,,79,,,,,,,,,,,,,,
208,Montreal,,5,,3,2,,,,,,,,,,,
209,Montreal,,71,65.3,55,16,,,,,,,,,,,
210,Montreal,,160,34,65,95,,,,,,,,,,,
211,Montreal,10,10,30,,,,,,,,,,,,,
212,Montreal,,15,49.93,,15,,,,,,,,,,,
213,Montreal,,55,23,21,34,,,,,,,,,,,
214,Montreal,,18,23.1,8,10,,,,,,,,,,,
215,Montreal,,59,,,,,,,,,,,,,,
216,Montreal,21,21,,,,,,,,,,,,,,
217,Montreal,,33,,29,4,,,,,,,,,,,
218,Quebec City,59,,61.3,43,16,,,,,,,,,,,
219,Sherbrooke,,28,55.48,14,14,,,,,,,,,,,
220,Montreal,,26,25,11,15,14,,4,8,,,,,,,
221,Montreal,10,10,,10,,,,,,,,,,,,
222,Montreal,17,17,22.15,17,,,,,,,,,,,,
223,Montreal,,153,34.4,,,,,,,,,,,,,
224,Montreal,20,20,,14,6,,,,,,,,,,,
225,Montreal,,29,34.3,,,,,,,,,,,,,
226,Montreal,,32,,,,,,,,,,,,,,
227,Montreal,,20,25.85,,,,,,,,,,,,,
228,Montreal,70,70,29,49,21,,,,,,,,,,,
229,Montreal,,33,10.59,13,20,,,,,,,,,,,
230,Montreal,,179,34.7,131,48,,,,,,,,,,,
231,Montreal,,181,34.7,80,101,,,,,,,,,,,
232,Montreal,,135,23.85,49,86,,,,,,,,,,,
233,Montreal,,20,74.35,8,12,,,,,,,,,,,
234,Montreal,,10,66.2,7,3,,,,,,,,,,,
235,Montreal,,8,34,4,4,,,,,,,,,,,
236,Montreal,16,16,26.15,16,,,,,,,,,,,,
237,Montreal,12,12,56.8,6,6,,,,,,,,,,,
238,Montreal,,6,24.5,6,,,,,,,,,,,,
239,Montreal,,35,73.4,13,22,,,,,,,,,,,
240,Montreal,,179,34,78,81,,,,,,,,,,,
241,Montreal,,169,31.3,75,94,,,,,,,,,,,
242,Montreal,,46,,40,6,,,,,,,,,,,
243,Montreal,,14,23.9,7,7,,,,,,,,,,,
244,Montreal,,10,,,,,,,,,,,,,,
245,Montreal,,4,27.3,2,2,,,,,,,,,,,
246,Montreal,,31,,,,,,,,,,,,,,
247,Montreal,,61,23.4,43,18,,,,,,,,,,,
248,Sherbrooke,,9,25,7,2,,,,,,,,,,,
249,Montreal,,50,33,20,30,,,,,,,,,,,
250,Montreal,,31,32.5,,,,,,,,,,,,,
251,Montreal,,24,23.92,12,12,,,,,,,,,,,
252,Montreal,,23,,10,13,,,,,,,,,,,
253,Montreal,,36,41.2,17,19,,,,,,,,,,,
254,Montreal,,31,23.3,11,20,,,,,,,,,,,
255,Montreal,,35,48,7,28,,,,,,,,,,,
256,Montreal,,20,24.3,,20,,,,,,,,,,,
257,Montreal,,24,23.5,12,12,,,,,,,,,,,
258,Montreal,7,,65.9,6,1,,,,,,,,,,,
259,Montreal,,187,24.27,130,57,,,,,,,,,,,
260,Montreal,,18,30.4,8,10,,,,,,,,,,,
261,Montreal,,21,21.26,,21,,,,,,,,,,,
262,Montreal,,178,54.6,80,98,,,,,,,,,,,
263,Sherbrooke,,14,,9,5,,,,,,,,,,,
264,Montreal,,10,24,,,,,,,,,,,,,
265,Montreal,,75,36,35,42,,,,,,,,,,,
266,Sherbrooke,,67,53,23,44,,,,,,,,,,,
267,Montreal,,20,21.2,8,12,,,,,,,,,,,
268,Montreal,,49,,,,,,,,,,,,,,
269,Montreal,12,61,33.05,6,6,,,,,,,,,,,
270,Montreal,,28,22.1,8,5,,,,,,,,,,,
271,Montreal,,50,65.9,14,36,,,,,,,,,,,
272,Quebec City,,30,26.87,10,20,28,,,,,2,,,,,
