Study ID,Geographical location,PET participants,MRI participants,Average Age (Years),Male,Female,Caucasian,Black,African-American,Asian,Other,Not specified,Asian American,Middle Eastern,Carribean,Jewish,Caucasian-Hispanic
978,Montreal,,20,38.9,8,12,,,,,,,,,,,
979,Montreal,12,12,,6,6,,,,,,,,,,,
980,Montreal,,28,25.76,13,15,,,,,,,,,,,
981,Montreal,,46,,,,,,,,,,,,,,
982,Montreal,16,16,21.56,8,8,,,,,,,,,,,
983,Montreal,,21,88.5,9,12,,,,,,,,,,,
984,Montreal,,60,30.96,,,,,,,,,,,,,
985,Montreal,,50,,22,28,,,,,,,,,,,
986,Montreal,12,12,26.8,6,6,,,,,,,,,,,
987,Montreal,,71,64.8,40,31,,,,,,,,,,,
988,Montreal,,42,,19,23,,,,,,,,,,,
989,Montreal,10,10,,4,6,,,,,,,,,,,
990,Montreal,,33,27.38,16,17,,,,,,,,,,,
991,Montreal,,20,71.6,15,5,,,,,,,,,,,
992,Montreal,8,,28.5,5,3,,,,,,,,,,,
993,Montreal,104,104,73.4,26,78,,,,,,,,,,,
994,Montreal,103,103,73.4,26,77,,,,,,,,,,,
995,Montreal,,93,64.4,67,26,,,,,,,,,,,
996,Montreal,,28,27.28,15,13,,,,,,,,,,,
997,Montreal,,82,64.3,59,23,,,,,,,,,,,
998,Montreal,,17,34.4,10,7,,,,,,,,,,,
999,Montreal,,13,28.5,9,4,,,,,,,,,,,
1000,Montreal,,9,31.9,3,6,,,,,,,,,,,
1001,Montreal,,30,40.5,19,11,,,,,,,,,,,
1002,Montreal,,26,68.3,10,16,,,,,,,,,,,
1003,Montreal,,25,70.34,10,15,,,,,,,,,,,
1004,Montreal,,57,21.71,,,63,,,,,,,,,,
1005,Montreal,,9,33,5,4,,,,,,,,,,,
1006,Montreal,,10,22.7,,,,,,,,,,,,,
1007,Montreal,,27,66.75,18,9,,,,,,,,,,,
1008,Montreal,9,,6.7,,,,,,,,,,,,,
1009,Montreal,21,,72.7,,,,,,,,,,,,,
1010,Montreal,,12,,,,,,,,,,,,,,
1011,Montreal,,80,63.03,40,40,,,,,,,,,,,
1012,Montreal,10,40,,30,20,,,,,,,,,,,
1013,Montreal,136,,63.1,73,63,,,,,,,,,,,
1014,Montreal,,22,18.5,11,11,,,,,,,,,,,
1015,Montreal,,15,23.9,7,8,,,,,,,,,,,
1016,Montreal,,32,34.3,17,15,,,,,,,,,,,
1017,Montreal,,,,,,,,,,,,,,,,
1018,Montreal,10,,,9,1,,,,,,,,,,,
1019,Montreal,51,51,61,,51,,,,,,,,,,,
1020,Montreal,,16,36.9,7,9,,,,,,,,,,,
1021,Montreal,,13,23.85,13,,,,,,,,,,,,
1022,Montreal,,80,25.09,39,41,,,,,,,,,,,
1023,Montreal,,15,23.9,7,8,,,,,,,,,,,
1024,Montreal,,39,,16,23,,,,,,,,,,,
1025,Montreal,,27,32,9,18,,,,,,,,,,,
1026,Montreal,,32,,15,17,,,,,,,,,,,
1027,Sherbrooke,,37,,,,,,,,,,,,,,
1028,Montreal,,122,1.38,32,90,,,,,,,,,,,
1029,Montreal,,53,34.4,53,,47,,,,,,,,,,
1030,Montreal,,45,21.2,39,6,,,,,,,,,,,
1031,Montreal,,30,66.5,16,14,,,,,,,,,,,
1032,Montreal,,3,25.7,2,1,,,,,,,,,,,
1033,Montreal,,42,,,,,,,,,,,,,,
1034,Montreal,,44,34,31,13,,,,,,,,,,,
1035,Montreal,,81,31.5,40,41,,,,,,,,,,,
1036,Montreal,,3,,3,,,,,,,,,,,,
1037,Montreal,,80,31.7,41,39,,,,,,,,,,,
1038,Montreal,,85,,,,,,,,,,,,,,
1039,Sherbrooke,,2,,,,,,,,,,,,,,
1040,Montreal,,23,27.1,16,7,,,,,,,,,,,
1041,Montreal,,42,33.95,29,13,33,4,,,,,,5,,,
1042,Montreal,,26,28.27,13,13,,,,,,,,,,,
1043,Montreal,,20,30,10,10,,,,,,,,,,,
1044,Montreal,,44,11.5,25,19,,,,,,,,,,,
1045,Montreal,,18,10.7,10,8,,,,,,,,,,,
1046,Montreal,51,51,,,51,,,,,,,,,,,
1047,Montreal,,44,34.3,,,,,,,,,,,,,
1048,Montreal,,4,21.2,1,3,,,,,,,,,,,
1049,Montreal,,7,68.17,1,6,,,,,,,,,,,
1050,Montreal,,43,30.5,16,27,,,,,,,,,,,
1051,Montreal,,18,25,4,14,,,,,,,,,,,
1052,Montreal,,28,74.6,8,20,,,,,,,,,,,
1053,Montreal,,42,39.75,26,16,,,,,,,,,,,
1054,Montreal,,23,39.2,12,11,,,,,,,,,,,
1055,Montreal,,42,38.3,26,16,,,,,,,,,,,
1056,Montreal,,44,13.5,,,,,,,,,,,,,
1057,Montreal,,28,30.7,,28,,,,,,,,,,,
1058,Montreal,,6,,,,,,,,,,,,,,
1059,Montreal,,127,53.35,51,76,,,,,,,,,,,
1060,Montreal,,40,23.3,20,20,,,,,,,,,,,
1061,Montreal,,25,26.7,,25,,,,,,,,,,,
1062,Montreal,1,,,,5,,,,,,,,,,,
1063,Montreal,,40,23.5,22,18,,,,,,,,,,,
1064,Montreal,,172,34.56,124,48,,,,,,,,,,,
1065,Montreal,,49,36.98,,,,,,,,,,,,,
1066,Montreal,7,,35,7,,7,,,,,,,,,,
1067,Quebec City,,5,,,,5,,,,,,,,,,
1068,Montreal,,9,,,9,,,,,,,,,,,
1069,Montreal,12,12,32.4,5,7,,,,,,,,,,,
1070,Montreal,12,,22.4,6,6,,,,,,,,,,,
1071,Montreal,9,,23.5,4,5,,,,,,,,,,,
1072,Montreal,,93,65.2,67,26,,,,,,,,,,,
1073,Montreal,,245,32,120,125,,,,,,,,,,,
1074,Sherbrooke,,23,,12,11,,,,,,,,,,,
1075,Montreal,,2,42.5,1,1,,,,,,,,,,,
1076,Montreal,,25,21.9,3,22,,,,,,,,,,,
1077,Montreal,,82,30.25,,,,,,,,,,,,,
1078,Montreal,,42,,19,23,,,,,,,,,,,
1079,Montreal,,28,25.7,,28,,,,,,,,,,,
1080,Montreal,,30,29.5,11,19,,,,,,,,,,,
1081,Montreal,,13,24.6,6,7,,,,,,,,,,,
1082,Montreal,,49,31.3,49,,,,,,,,,,,,
1083,Montreal,,12,26.7,2,10,,,,,,,,,,,
1084,Montreal,11,11,24,11,,,,,,,,,,,,
1085,Montreal,8,8,22,8,,,,,,,,,,,,
1086,Montreal,10,10,24.2,10,,,,,,,,,,,,
1087,Montreal,,37,73.9,22,15,,,,,,,,,,,
1088,Montreal,16,16,,12,4,,,,,,,,,,,
1089,Montreal,,20,,10,10,,,,,,,,,,,
1090,Montreal,21,21,30,11,10,,,,,,,,,,,
1091,Montreal,,41,,,,,,,,,,,,,,
1092,Quebec City,,84,54.11,35,49,,,,,,,,,,,
1093,Montreal,,32,23.9,15,17,,,,,,,,,,,
1094,Montreal,12,12,58.9,8,4,,,,,,,,,,,
1095,Montreal,,60,71.8,23,37,,,,,,,,,,,
1096,Montreal,12,12,26.8,6,6,,,,,,,,,,,
1097,Montreal,9,9,,,,,,,,,,,,,,
1098,Montreal,,31,54.95,12,19,,,,,,,,,,,
1099,Montreal,,17,,12,5,,,,,,,,,,,
1100,Montreal,,39,0.74,24,15,,,,,,,,,,,
1101,Montreal,,12,26.5,6,6,,,,,,,,,,,
1102,Montreal,,152,25.1,85,67,,,,,,,,,,,
1103,Montreal,28,28,36.3,11,17,,,,,,,,,,,
1104,Sherbrooke,44,44,,19,25,,,,,,,,,,,
1105,Montreal,,8,,,,,,,,,,,,,,
1106,Sherbrooke,75,75,,29,46,,,,,,,,,,,
1107,Montreal,,39,18.7,18,21,,,,,,,,,,,
1108,Montreal,,49,29.3,22,27,,,,,,,,,,,
1109,Montreal,,7,,3,4,,,,,,,,,,,
1110,Sherbrooke,,34,72,,,,,,,,,,,,,
1111,Montreal,,806,44,,,,,,,,,,,,,
1112,Sherbrooke,59,59,,23,36,,,,,,,,,,,
1113,Sherbrooke,56,56,,25,31,,,,,,,,,,,
1114,Montreal,5,5,,3,2,,,,,,,,,,,
1115,Montreal,,,,,,34,,,,,,,,,,
1116,Montreal,15,15,,8,7,,,,,,,,,,,
1117,Montreal,,18,51.9,7,11,,,,,,,,,,,
1118,Montreal,8,8,66.75,4,4,,,,,,,,,,,
1119,Montreal,10,10,,4,6,,,,,,,,,,,
1120,Montreal,6,,,3,3,,,,,,,,,,,
1121,Montreal,20,20,36.5,20,,,,,,,,,,,,
1122,Montreal,,84,,33,51,,,,,,,,,,,
1123,Montreal,,36,31,20,16,,,,,,,,,,,
1124,Montreal,6,6,72.33,4,2,,,,,,,,,,,
1125,Quebec City,,15,43.9,8,7,,,,,,,,,,,
1126,Montreeal,,50,29.54,27,23,,,,,,,,,,,
1127,Montreal,,24,37.2,1,23,,,,,,,,,,,
1128,Montreal,,22,20.5,9,13,,,,,,,,,,,
1129,Montreal,,,35.6,45,49,,,,,,,,,,,
1130,Montreal,35,14,37.8,17,18,,,,,,,,,,,
1131,Montreal,,33,61,20,13,,,,,,,,,,,
1132,Montreal,,2,,2,,,,,,,,,,,,
1133,Montreal,,13,39.8,,,,,,,,,,,,,
1134,Montreal,,28,42.7,16,12,,,,,,,,,,,
1135,Montreal,,54,49.6,16,38,,,,,,,,,,,
1136,Montreal,,68,46.5,27,41,,,,,,,,,,,
1137,Montreal,,53,45.4,16,37,,,,,,,,,,,
1138,Montreal,25,25,47,12,13,,,,,,,,,,,
1139,Montreal,4,4,24,4,,,,,,,,,,,,
1140,Montreal,12,12,58.75,8,4,,,,,,,,,,,
1141,Montreal,,2,35.85,2,,,,,,,,,,,,
1142,Montreal,,31,69.3,22,9,,,,,,,,,,,
1143,Montreal,,16,,,,,,,,,,,,,,
1144,Montreal,,17,23.6,10,7,,,,,,,,,,,
1145,Montreal,13,14,24.3,6,8,,,,,,,,,,,
1146,Montreal,,26,62.32,12,14,,,,,,,,,,,
1147,Montreal,,27,60.3,12,15,,,,,,,,,,,
1148,Montreal,,14,32.85,12,2,,,,,,,,,,,
1149,Montreal,15,15,21.5,15,,,,,,,,,,,,
1150,Montreal,11,11,38.7,6,5,,,,,,,,,,,
1151,Montreal,,86,,39,47,,,,,,,,,,,
1152,Montreal,,19,22.6,7,12,,,,,,,,,,,
1153,Montreal,10,10,,10,,,,,,,,,,,,
1154,Montreal,,176,,66,110,,,,,,,,,,,
1155,Montreal,4,,24,3,1,,,,,,,,,,,
1156,Montreal,10,10,,,,,,,,,,,,,,
1157,Montreal,,,9.2,14,4,,,,,,,,,,,
1158,Montreal,6,6,,2,4,,,,,,,,,,,
1159,Montreal,,10,23.4,5,5,,,,,,,,,,,
1160,Montreal,5,,24,4,1,,,,,,,,,,,
1161,Quebec City,,33,67.1,20,13,,,,,,,,,,,
1162,Sherbrooke,,15,28.7,7,8,,,,,,,,,,,
1163,Montreal,,14,56.6,,,,,,,,,,,,,
1164,Quebec City,,12,67.5,,,,,,,,,,,,,
1165,Montreal,,11,24,5,6,,,,,,,,,,,
1166,Montreal,,17,55.3,13,4,,,,,,,,,,,
1167,Montreal,,106,43,65,63,,,,,,,,,,,
1168,Montreal,,60,,29,31,,,,,,,,,,,
1169,Montreal,,13,,9,4,,,,,,,,,,,
1170,Montreal,,40,,7,33,,,,,,,,,,,
1171,Montreal,12,12,39.5,10,2,,,,,,,,,,,
1172,Montreal,14,14,34.43,7,7,,,,,,,,,,,
1173,Montreal,,109,,57,52,,,,,,,,,,,
1174,Montreal,,19,40,7,12,,,,,,,,,,,
1175,Montreal,,89,18.4,32,47,,,,,,,,,,,
1176,Montreal,18,,66.5,13,5,,,,,,,,,,,
1177,Montreal,,57,28.4,,,,,,,,,,,,,
1178,Montreal,,44,0.46,22,22,,,,,,,,,,,
1179,Montreal,,12,,5,7,,,,,,,,,,,
1180,Montreal,6,9,,,,,,,,,,,,,,
1181,Montreal,18,18,37.2,13,5,18,,,,,,,,,,
1182,Montreal,14,14,,7,7,,,,,,,,,,,
1183,Quebec City,,29,45.9,8,21,,,,,,,,,,,
1184,Montreal,,26,,13,13,,,,,,,,,,,
1185,Montreal,19,19,27.5,5,14,,,,,,,,,,,
1186,Montreal,,40,,7,33,,,,,,,,,,,
1187,Montreal,,9,,3,6,,,,,,,,,,,
1188,Montreal,,13,,,,,,,,,,,,,,
1189,Montreal,,83,73.09,39,44,,,,,,,,,,,
1190,Montreal,,74,,27,47,,,,,,,,,,,
1191,Montreal,109,109,55,52,57,,,,,,,,,,,
1192,Montreal,,62,,,,,,,,,,,,,,
1193,Quebec City,,48,29.45,40,8,,,,,,,,,,,
1194,Montreal,,7,31.1,6,1,,,,,,,,,,,
1195,Montreal,,28,36.85,10,18,,,,,,,,,,,
1196,Quebec City,,21,29.2,18,3,,,,,,,,,,,
1197,Montreal,,62,,,,,,,,,,,,,,
1198,Montreal,,14,,,,,,,,,,,,,,
1199,Montreal,,38,25.6,28,10,,,,,,,,,,,
1200,Montreal,,27,,,,,,,,,,,,,,
1201,Montreal,,14,23,5,9,,,,,,,,,,,
1202,Montreal,,57,,20,37,,,,,,,,,,,
1203,Montreal,,4,38,3,1,,,,,,,,,,,
1204,Sherbrooke,,19,,15,4,,,,,,,,,,,
1205,Montreal,,14,23,5,9,,,,,,,,,,,
1206,Montreal,,3,64.3,2,1,,,,,,,,,,,
1207,Montreal,,40,,29,11,,,,,,,,,,,
1208,Montreal,,62,24,28,34,,,,,,,,,,,
1209,Montreal,,25,22.6,13,12,,,,,,,,,,,
1210,Montreal,,30,33.4,10,20,28,,2,,,,,,,,
1211,Montreal,23,,66.25,,,,,,,,,,,,,
1212,Montreal,,13,27.4,6,7,,,,,,,,,,,
1213,Montreal,6,6,25,3,3,,,,,,,,,,,
1214,Montreal,,25,23.5,11,14,,,,,,,,,,,
1215,Montreal,,10,62.5,8,2,,,,,,,,,,,
1216,Montreal,12,12,25,6,6,,,,,,,,,,,
1217,Montreal,,,,,,,,,,,,,,,,
1218,Montreal,,14,,9,5,,,,,,,,,,,
1219,Montreal,,13,,,,,,,,,,,,,,
1220,Montreal,12,12,23,6,6,,,,,,,,,,,
1221,Montreal,,30,36,16,14,,,,,,,,,,,
1222,Montreal,,34,36,20,14,,,,,,,,,,,
1223,Montreal,,20,21.3,8,12,,,,,,,,,,,
1224,Montreal,,40,,20,20,,,,,,,,,,,
1225,Montreal,,34,36,13,21,,,,,,,,,,,
1226,Montreal,,16,24.8,8,8,,,,,,,,,,,
1227,Montreal,,20,36,10,10,,,,,,,,,,,
1228,Montreal,,8,29,,,,,,,,,,,,,
1229,Montreal,,32,27.5,13,19,,,,,,,,,,,
1230,Montreal,,7,,5,2,,,,,,,,,,,
1231,Montreal,,10,29.6,,,,,,,,,,,,,
1232,Montreal,,15,32.2,10,15,,,,,,,,,,,
1233,Montreal,,41,44.49,12,29,,,,,,,,,,,
1234,Montreal,,,8.43,,,,,,,,,,,,,
1235,Quebec City,,32,,24,8,,,,,,,,,,,
1236,Montreal,,20,26.2,10,10,,,,,,,,,,,
1237,Montreal,88,,9.69,43,45,,,,,,,,,,,
1238,Montreal,,45,65.3,25,20,,,,,,,,,,,
1239,Montreal,,74,60.9,47,27,74,,,,,,,,,,
1240,Quebec City,,27,,9,18,,,,,,,,,,,
1241,Quebec City,,29,,21,8,,,,,,,,,,,
1242,Montreal,,30,22.02,22,,,,,,,,,,,,
1243,Montreal,,30,59.5,30,,,,,,,,,,,,
1244,Montreal,,18,29.32,9,9,,,,,,,,,,,
1245,Montreal,,2,21,1,1,,,,,,,,,,,
1246,Quebec City,,30,,11,19,,,,,,,,,,,
1247,Montreal,,12,26,3,9,,,,,,,,,,,
1248,Montreal,,15,26,9,6,,,,,,,,,,,
1249,Montreal,,86,35,44,42,,,,,,,,,,,
1250,Montreal,,6,29,5,1,,,,,,,,,,,
1251,Montreal,,10,,,,,,,,,,,,,,
1252,Montreal,,1,33,,1,,,,,,,,,,,
1253,Quebec City,,40,,20,20,,,,,,,,,,,
1254,Montreal,,54,25.4,35,19,,,,,,,,,,,
1255,Montreal,,69,,69,,,,,,,,,,,,
1256,Montreal,,60,,60,,,,,,,,,,,,
1257,Montreal,,70,33.2,70,,62,,,,,,,,,,
1258,Montreal,,60,,60,,,,,,,,,,,,
1259,Montreal,,50,,50,,,,,,,,,,,,
1260,Montreal,24,24,73.06,9,15,,,,,,,,,,,
1261,Montreal,,21,42.6,,,23,,,,,,,,,,
1262,Montreal,171,171,66.7,63,108,,,,,,,,,,,
1263,Montreal,,22,40,11,11,,,,,,,,,,,
1264,Montreal,,82,35,,,,,,,,,,,,,
1265,Montreal,,17,39.2,6,11,,,,,,,,,,,
1266,Montreal,,9,,,,,,,,,,,,,,
1267,Montreal,,68,13.61,32,36,,,,,,,,,,,
1268,Montreal,,95,24.03,49,46,,,,,,,,,,,
1269,Montreal,,9,28,1,8,,,,,,,,,,,
1270,Montreal,,13,47,8,5,,,,,,,,,,,
1271,Montreal,111,111,37.9,50,61,,,,,,,,,,,
1272,Montreal,,63,34.4,31,32,,,,,,,,,,,
1273,Montreal,,8,,,,,,,,,,,,,,
1274,Montreal,,7,25.8,4,3,,,,,,,,,,,
1275,Montreal,,47,10,21,26,,,,,,,,,,,
1276,Montreal,,24,41.5,13,11,,,,,,,,,,,
1277,Montreal,,59,,59,,,,,,,,,,,,
1278,Montreal,,82,47.1,41,41,,,,,,,,,,,
1279,Montreal,,48,29.71,32,16,,,,,,,,,,,
1280,Montreal,,8,28,1,7,,,,,,,,,,,
1281,Montreal,,35,60.55,22,13,,,,,,,,,,,
1282,Montreal,6,,59.3,,,,,,,,,,,,,
1283,Montreal,,25,34.6,19,6,23,,,,,,,,2,,
1284,Montreal,,12,43.98,5,7,,,,,,,,,,,
1285,Montreal,6,6,,4,2,,,,,,,,,,,
1286,Sherbrooke,,46,10.42,29,17,,,,,,,,,,,
1287,Montreal,,25,57.1,6,19,,,,,,,,,,,
1288,Montreal,,63,10,,,,,,,,,,,,,
1289,Montreal,,73,40.1,,,,,,,,,,,,,
1290,Montreal,8,,,3,5,,,,,,,,,,,
1291,Montreal,,10,,,,,,,,,,,,,,
1292,Montreal,,61,14.3,33,28,,,,,,,,,,,
1293,Montreal,,7,25.8,4,3,,,,,,,,,,,
1294,Montreal,,161,47.11,49,92,,,,,,,,,,,
1295,Quebec City,7,262,67.5,134,128,,,,,,,,,,,
1296,Montreal,,38,,,,,,,,,,,,,,
1297,Montreal,,88,13.54,42,46,,,,,,,,,,,
1298,Montreal,7,7,56.4,,,,,,,,,,,,,
1299,Montreal,5,,,,,,,,,,,,,,,
1300,Montreal,,45,31.3,25,20,,,,,,,,,,,
1301,Montreal,,10,22.9,5,5,,,,,,,,,,,
1302,Montreal,8,,,5,3,,,,,,,,,,,
1303,Montreal,,25,26.65,16,9,,,,,,,,,,,
1304,Montreal,,8,28,6,2,,,,,,,,,,,
1305,Montreal,,15,28.3,11,4,,,,,,,,,,,
1306,Trois-Rivières,,21,23.4,10,11,,,,,,,,,,,
1307,Montreal,,12,28.2,9,3,,,,,,,,,,,
1308,Montreal,,2,36.5,,,,,,,,,,,,,
1309,Montreal,,12,27,7,5,,,,,,,,,,,
1310,Montreal,,53,25.79,34,19,,,,,,,,,,,
1311,Montreal,,23,29,10,13,,,,,,,,,,,
1312,Montreal,,7,40,1,6,,,,,,,,,,,
1313,Montreal,,13,22.4,8,5,,,,,,,,,,,
1314,Montreal,,7,29,4,3,,,,,,,,,,,
1315,Montreal,,33,22.06,28,5,,,,,,,,,,,
1316,Montreal,,15,22.8,10,5,,,,,,,,,,,
1317,Montreal,,125,47.9,35,90,,,,,,,,,,,
1318,Montreal,,39,64.69,17,22,,,,,,,,,,,
1319,Montreal,28,28,21.7,,,,,,,,,,,,,
1320,Montreal,,40,19.87,16,24,31,,,3,4,,,,,2,
1321,Montreal,,32,30.28,9,23,,,,,,,,,,,
1322,Montreal,,28,21.52,9,19,,,,,,,,,,,
1323,Montreal,74,,20,25,49,,,,,,,,,,,
1324,Montreal,,28,,,,,,,,,,,,,,
1325,Montreal,74,74,20,25,49,,,,,,,,,,,
1326,Montreal,8,8,23.7,2,6,,,,,,,,,,,
1327,Montreal,10,26,33.67,15,16,,,,,,,,,,,
1328,Montreal,9,9,,4,5,,,,,,,,,,,
1329,Montreal,7,7,,2,5,,,,,,,,,,,
1330,Montreal,,33,29,14,19,,,,,,,,,,,
1331,Montreal,,124,76,,,,,,,,,,,,,
1332,Montreal,,7,,,,,,,,,,,,,,
1333,Montreal,,60,,23,37,,,,,,,,,,,
1334,Montreal,,17,23.1,8,9,,,,,,,,,,,
1335,Montreal,,41,66,,,,,,,,,,,,,
1336,Montreal,,39,65.5,,,,,,,,,,,,,
1337,Montreal,,22,22.5,8,14,,,,,,,,,,,
1338,Montreal,8,8,25,8,,,,,,,,,,,,
1339,Montreal,,24,23,8,16,,,,,,,,,,,
1340,Montreal,,14,26,8,6,,,,,,,,,,,
1341,Montreal,,10,25.3,5,5,,,,,,,,,,,
1342,Montreal,,11,28.2,5,6,,,,,,,,,,,
1343,Montreal,,11,28.2,5,6,,,,,,,,,,,
1344,Montreal,,61,22.9,47,14,,,,,,,,,,,
1345,Montreal,,5,,4,1,,,,,,,,,,,
1346,Montreal,,116,13.6,55,61,,,,,,,,,,,
1347,Montreal,,46,10,27,19,,,,,,,,,,,
1348,Montreal,,51,10.25,43,8,,,,,,,,,,,
1349,Montreal,,51,23.6,32,19,,,,,,,,,,,
1350,Montreal,,70,62,32,38,,,,,,,,,,,
1351,Montreal,,1,,1,,1,,,,,,,,,,
1352,Montreal,,,20.4,25,19,,,,,,,,,,,
1353,Montreal,,16,0.027,10,6,,,,,,,,,,,
1354,Montreal,,19,26.9,10,9,,,,,,,,,,,
1355,Montreal,26,26,21.3,18,8,23,,,,,3,,,,,
1356,Montreal,,18,27,9,9,,,,,,,,,,,
1357,Montreal,,40,30.2,21,19,,,,,,,,,,,
1358,Montreal,,18,26.9,9,9,,,,,,,,,,,
1359,Montreal,8,8,,8,,,,,,,,,,,,
1360,Montreal,,11,21.4,5,6,,,,,,,,,,,
1361,Montreal,,34,43,16,18,,,,,,,,,,,
1362,Montreal,,76,9,,,,,,,,,,,,,
1363,Montreal,,44,6,24,20,,,,,,,,,,,
1364,Montreal,,,,,,,,,,,,,,,,
1365,Montreal,34,34,37.9,16,18,,,,,,,,,,,
1366,Montreal,12,12,28.6,,12,,,,,,,,,,,
1367,Montreal,,58,36.4,21,37,,,,,,,,,,,
1368,Montreal,,13,,4,9,,,,,,,,,,,
1369,Montreal,,17,23.78,,,,,,,,,,,,,
1370,Montreal,6,6,39,1,5,,,,,,,,,,,
1371,Montreal,38,44,8.85,23,21,,,,,,,,,,,
1372,Montreal,,25,25,13,12,,,,,,,,,,,
1373,Montreal,,12,23.4,5,7,,,,,,,,,,,
1374,Montreal,,55,31.75,26,29,,,,,,,,,,,
1375,Montreal,,14,23.3,5,9,,,,,,,,,,,
1376,Montreal,12,12,65.4,8,4,,,,,,,,,,,
1377,Montreal,,48,63,17,31,,,,,,,,,,,
1378,Montreal,,59,66.97,69,46,,,,,,,,,,,
1379,Montreal,,20,37.9,,,,,,,,,,,,,
1380,Montreal,,20,,,,,,,,,,,,,,
1381,Montreal,,30,15,14,16,,,,,,,,,,,
1382,Montreal,,18,20.8,6,12,,,,,,,,,,,
1383,Montreal,,7,38,2,5,,,,,,,,,,,
1384,Montreal,,12,23.3,5,7,,,,,,,,,,,
1385,Montreal,,43,31.5,25,18,,,,,,,,,,,
1386,Montreal,,11,23.05,4,7,,,,,,,,,,,
1387,Montreal,,5,,,,,,,,,,,,,,
1388,Sherbrooke,78,78,73.7,33,45,,,,,,,,,,,
1389,Montreal,,122,46.5,52,70,,,,,,,,,,,
1390,Montreal,,37,45.3,11,26,,,,,,,,,,,
1391,Montreal,,22,22.2,22,,,,,,,,,,,,
1392,Montreal,,34,69.3,15,19,,,,,,,,,,,
1393,Montreal,,96,35.7,51,45,,,,,,,,,,,
1394,Montreal,10,10,20.8,5,5,,,,,,,,,,,
1395,Montreal,,18,20.8,6,12,,,,,,,,,,,
1396,Montreal,8,8,,,,,,,,,,,,,,
1397,Montreal,,31,69,22,9,,,,,,,,,,,
1398,Montreal,28,28,69.12,19,9,,,,,,,,,,,
1399,Montreal,,11,26,4,7,,,,,,,,,,,
1400,Montreal,36,36,39.8,18,18,,,,,,,,,,,
1401,Montreal,7,7,,7,,,,,,,,,,,,
1402,Montreal,,15,13.2,7,8,,,,,,,,,,,
1403,Montreal,8,,72.6,4,4,,,,,,,,,,,
1404,Montreal,,7,,5,2,,,,,,,,,,,
1405,Montreal,,10,27,3,7,,,,,,,,,,,
1406,Montreal,,43,29,18,25,,,,,,,,,,,
1407,Montreal,,212,46.5,87,145,,,,,,,,,,,
1408,Montreal,,28,29.46,10,18,,,,,,,,,,,
1409,Montreal,,17,,,,,,,,,,,,,,
1410,Montreal,,50,29.54,27,23,,,,,,,,,,,
1411,Montreal,,83,34.3,36,47,,,,,,,,,,,
1412,Quebec City,,61,68.6,34,27,,,,,,,,,,,
1413,Montreal,,202,49.5,105,97,,,,,,,,,,,
1414,Montreal,59,59,31.5,31,28,,,,,,,,,,,
1415,"Montreal, Bas-Saint-Laurent, Abitibi, Gaspésie, Mauricie",,5,7,2,3,5,,,,,,,,,,
1416,Montreal,,40,22.3,35,5,,,,,,,,,,,
1417,Montreal,,84,54.7,47,37,,,,,,,,,,,
1418,Montreal,6,,34.3,6,,,,,,,,,,,,
1419,Sherbrooke,32,32,75.15,14,18,,,,,,,,,,,
1420,Montreal,,28,23.5,24,4,,,,,,,,,,,
1421,Montreal,,9,26,6,3,,,,,,,,,,,
1422,Sherbrooke,33,33,74.8,15,18,,,,,,,,,,,
1423,Montreal,,50,30.4,38,12,,,,,,,,,,,
1424,Montreal,,28,25.7,,28,,,,,,,,,,,
1425,Montreal,,138,65.9,70,68,,,,,,,,,,,
1426,Montreal,,30,,,,,,,,,,,,,,
1427,Quebec City,,57,45.8,15,42,,,,,,,,,,,
1428,Montreal,20,20,24.65,,,,,,,,,,,,,
1429,Montreal,8,8,22.4,4,4,,,,,,,,,,,
1430,Montreal,,10,59,5,5,,,,,,,,,,,
1431,Montreal,,20,,,,,,,,,,,,,,
1432,Montreal,12,12,,,,,,,,,,,,,,
1433,Montreal,10,10,23,5,5,,,,,,,,,,,
1434,Montreal,9,9,27,3,6,,,,,,,,,,,
1435,Montreal,7,,,6,1,,,,,,,,,,,
1436,Montreal,,24,,12,12,,,,,,,,,,,
1437,Montreal,,64,> 16,,,,,,,,,,,,,
1438,Montreal,,25,58,13,12,,,,,,,,,,,
1439,Montreal,,6,41.7,3,3,,,,,,,,,,,
1440,Montreal,22,22,47.8,,22,,,,,,,,,,,
1441,Montreal,20,20,,,,,,,,,,,,,,
1442,Montreal,,42,27.9,,,,,,,,,,,,,
1443,Montreal,,12,23,5,7,,,,,,,,,,,
1444,Montreal,,18,22,,,,,,,,,,,,,
1445,Montreal,,12,,,,,,,,,,,,,,
1446,Montreal,12,12,22,6,6,,,,,,,,,,,
1447,Montreal,12,,23,6,6,,,,,,,,,,,
1448,Montreal,20,54,28.22,30,24,,,,,,,,,,,
1449,Montreal,,13,26,6,7,,,,,,,,,,,
1450,Montreal,,14,59.79,,,,,,,,,,,,,
1451,Montreal,,17,,8,9,,,,,,,,,,,
1452,Montreal,,28,22.37,18,10,,,,,,,,,,,
1453,Montreal,,24,25.5,13,11,,,,,,,,,,,
1454,Montreal,,124,64.5,84,40,,,,,,,,,,,
1455,Montreal,15,,74.3,6,9,,,,,,,,,,,
1456,Sherbrooke,,18,,15,3,,,,,,,,,,,
1457,Montreal,15,114,33.9,,,,,,,,,,,,,
1458,Montreal,38,38,73.8,,,,,,,,,,,,,
